fly_id,Genotype,Sex,Treatment,Mesor_mean_Z,Mesor_sd_Z,Amp_mean_Z,Amp_sd_Z,Phase_mean_Z,Phase_sd_Z,total_sleep_mean_Z,day_sleep_mean_Z,night_sleep_mean_Z,total_bouts_mean_Z,day_bouts_mean_Z,night_bouts_mean_Z,mean_bout_mean_Z,max_bout_mean_Z,mean_day_bout_mean_Z,max_day_bout_mean_Z,mean_night_bout_mean_Z,max_night_bout_mean_Z,frag_bouts_per_hour_mean_Z,frag_bouts_per_min_sleep_mean_Z,mean_wake_bout_mean_Z,P_wake_mean_Z,P_doze_mean_Z,sleep_latency_mean_Z,WASO_mean_Z
5-23,Iso,Female,8mM His,-0.558014575767437,-0.6508780713231309,-0.7118365826864008,-0.5494274527847139,-1.6659032740597521,1.2669754230246226,-0.7012790333864048,-0.6045991664305251,-0.6667535121271324,-0.7651992508306749,-0.7367929979595959,-0.6828251297309773,-0.4969308840491172,-0.532891618398979,-0.2910231533303366,-0.3049697157047428,-0.4936583176776116,-0.517993334858083,-0.787511279954414,0.37247723304289215,0.26618692311122416,0.38477073996659555,-0.8254862576774094,0.6006956855755952,0.5606255369571018
5-24,Iso,Female,VEH,-0.4190996779899243,-0.3027572815640581,-0.6817984994787997,-0.46569555062068707,-1.1604532951428335,1.6656639123136814,-0.8126239026939246,-0.6450351727461032,-0.7796686310327958,-1.1562208805790541,-0.853744267476992,-1.110928659342875,-0.5429636902129765,-0.6199209276910294,-1.2180445354036917,-0.5632726934332094,-0.5372707778974933,-0.6052360129752944,-1.1603576710580323,0.8367458179777927,1.0004743903032314,0.8445951713305997,-1.1030745345774449,1.2226725890223753,-0.11660368117412745
5-25,SSS,Female,2mM His,-0.8194342763035692,-0.6986848826808896,-0.2385144033451081,-0.6683102478254632,0.7703978483580629,-1.149874122926851,2.13946745833762,1.2231083190336092,2.113011415114107,0.5281799860293495,1.251378583836139,0.2447325177614683,1.9107743596051765,2.1141382965299957,0.49014686463014456,0.04632233400597176,2.286954926681374,2.1355262749531008,0.510957533357447,-1.7407219853181244,-0.9113718291382186,-1.733070845787776,1.0000571351474576,-0.969795995627525,-1.771068331823691
5-27,SSS,Female,VEH,-0.29609948215803755,-0.14168515167604412,-0.6455404932275159,-0.6293613803256356,1.0003072112532374,-0.770860759603529,-0.7438805485997166,-0.6126863676936407,-0.7108930586084372,-0.7952778377343963,-0.853744267476992,-0.6828251297309773,-0.5888764629839705,-0.6031845220579427,-1.2180445354036917,-0.5632726934332094,-0.5744653509947167,-0.5884585748758306,-0.8051020311853229,0.898952429303807,0.6172894445460522,0.9062063175684547,-0.8356732519600376,0.6765465274593488,0.23308710669269886
5-29,SSS,Female,8mM His,0.8863286165154343,0.8880751837738748,0.4436659087309629,0.47911024742665603,-0.7223445806446536,0.4628849767126186,-0.6615821669376368,-0.6450351727461032,-0.619534462402946,-0.6448849032157888,-0.853744267476992,-0.5044486590593532,-0.5013335374231425,-0.532891618398979,-1.2180445354036917,-0.5632726934332094,-0.5035456145597587,-0.517993334858083,-0.6710149549982015,0.4077804876352852,0.31353369065897846,0.3186911541505216,-0.7302930402521414,0.5722516198691875,0.5115738879803071
5-30,SSS,Female,VEH,-0.8128060482924274,-0.5758331499938004,-0.7196559824754918,-0.6011489280567863,0.9397924707795097,-1.0815906989469484,0.020042076475353346,0.4629114003007391,-0.037508349498299544,1.851637809793095,1.368329853353535,1.7787701655374353,-0.503914426846023,-0.4994188071328059,0.10394413854697782,-0.04666673797627625,-0.4934368987599412,-0.4871228487550697,1.896217077949081,0.4101584888296616,-0.8414411451392618,0.407534636042461,1.5958307759700197,-0.6163310724492329,0.5859425170741571
6-1,SSS,Female,2mM His,1.2652496567010472,0.2592390553619307,2.509487443040077,2.4901323190449554,0.6397025228013121,-0.8916412321815785,0.4683262024699762,-0.07893108432800862,0.5065372234108056,0.7387300943554,-0.03508538085521888,0.8868878121793151,0.07536947074253407,0.5020877059510955,0.4505939523283475,0.004993857569417066,0.004344669256707711,0.5195234372127543,0.7205927670348911,-0.7125353070317437,-0.7886958917137594,-0.7120053724540905,0.659059712610339,-0.37815942893424626,-0.2836957499466923
6-2,SSS,Female,8mM His,-0.9140875976143684,-0.6785247144669568,-0.5024173046676853,-0.6524575935521398,0.7763551038631629,-1.1620561364793238,1.5507919753900377,1.134149105139337,1.5001902697806433,1.9719521574079812,1.368329853353535,1.921471342074735,0.39974238026854547,0.47798728183945094,0.603552480370451,0.35628590728013165,0.4259123856016995,0.49536392634952653,1.9262134278442125,-1.2481991511921404,-0.9684279575226367,-1.2525562454086399,2.2620998197321285,-0.9758640629782254,-1.0102930793061795
6-3,SSS,Female,VEH,0.10917548325150671,1.1567931536994107,0.889460739673704,3.023051703443465,0.8909155172236616,-1.121073825159643,0.6135586406971758,-0.07084388306489302,0.6594858844739314,1.3703804193335514,-0.15203665037261502,1.6717442831344613,0.042876496930737557,0.550288554174385,0.5123953777999046,0.1083150486608037,-0.0267213899282638,0.5678424589392099,1.3610317980753668,-0.9657877164897282,-0.9073240151447799,-0.9875459043460136,1.263641591318137,-0.8757409516916705,-0.05710877789904765
6-6,Rye,Female,VEH,0.045706073436063255,-0.17426899431214565,-0.49791042204034397,-0.44155194263674874,0.2493806636457297,1.1711310726592679,-0.614139570450085,-0.6450351727461032,-0.5692359094358778,-0.7351206639269533,-0.853744267476992,-0.6114745414623276,-0.20029236026099337,-0.424439709896578,-1.2180445354036917,-0.5632726934332094,-0.25966798762833343,-0.4092755359735579,-0.7122538786827842,-0.3877768103106218,-0.14430381761490638,-0.368205865646797,-0.7679132322741833,0.9826046744602951,-0.09255255006292484
