fly_id,Genotype,Sex,Treatment,Mesor_mean,Mesor_sd,Amp_mean,Amp_sd,Phase_mean,Phase_sd,rhythmic_days,total_sleep_mean,day_sleep_mean,night_sleep_mean,total_bouts_mean,day_bouts_mean,night_bouts_mean,mean_bout_mean,max_bout_mean,mean_day_bout_mean,max_day_bout_mean,mean_night_bout_mean,max_night_bout_mean,frag_bouts_per_hour_mean,frag_bouts_per_min_sleep_mean,mean_wake_bout_mean,P_wake_mean,P_doze_mean,sleep_latency_mean,WASO_mean,n_days
6-14,SSS,Female,8mM His,456.91224403486757,61.10840751130647,391.60975927023765,72.08241350979696,20.55390375313274,1.6562986502488386,5,594.8,61.8,533.0,17.4,5.8,11.6,35.24422268907563,205.6,13.848095238095237,42.8,49.484047619047615,205.6,0.7580005546311702,0.03083129311325524,49.65521929824562,0.029087974976622417,0.020563459315756285,0.0,145.0,5
6-15,SSS,Female,VEH,6516.930260578361,4401.657913408432,2952.2724477239562,1601.6512704724785,18.754381644870833,6.274605661297701,3,143.2,12.8,130.4,10.6,1.8,8.8,12.204464285714286,30.75,8.4,10.0,13.075696767001116,30.75,0.46806711037160287,0.08795435966036824,409.2269467787115,0.08741787897367297,0.010085678808338867,129.75,374.75,5
6-16,Rye,Female,2mM His,1457.4556159843783,158.8103971134493,269.68549557572584,93.4878693211205,18.940133968250002,4.09219326170592,4,8.6,1.4,7.2,1.4,0.2,1.2,6.25,6.5,7.0,7.0,6.0,6.333333333333333,0.06163338879645035,0.1645021645021645,701.0333333333333,0.1645021645021645,0.0010358416003693847,224.66666666666666,413.3333333333333,5
6-17,Rye,Female,8mM His,5388.658490417729,1444.465437366708,1974.566457335944,1168.228775312773,12.049418991683426,8.629588546253323,4,35.0,3.2,31.8,4.4,0.6,3.8,8.297619047619047,14.5,5.75,6.0,8.458333333333334,14.5,0.19488352745424292,0.12748684839789576,506.9613636363636,0.12748684839789576,0.0033893160663497645,176.5,451.25,5
6-18,Rye,Female,VEH,1765.9686564050673,494.02314410864267,413.06851624707804,171.80239705157786,16.49834314001266,9.19832769829065,4,30.2,21.0,9.2,2.8,2.0,0.8,10.055555555555555,14.0,10.144444444444444,14.0,10.666666666666668,13.5,0.11666666666666667,0.1037295359876005,701.8,0.1037295359876005,0.0020300063463105185,291.0,406.0,5
6-19,Fmn,Female,2mM His,4741.270194046758,1074.7969851438459,2371.54231313963,1282.673364354753,16.46923859401828,6.366320716511591,4,85.6,10.0,75.6,9.0,1.6,7.4,8.841666666666665,14.0,6.285714285714286,8.5,9.194037267080745,14.0,0.3882002218524681,0.11878099715070874,365.4955555555556,0.11805107014340946,0.007593149428382462,169.8,432.6,5
6-20,Fmn,Female,8mM His,619.9264127177303,111.46181302291754,150.9347831833019,87.0333581222316,16.29744205988985,8.84616076725399,2,133.0,37.8,95.2,17.4,5.2,12.2,7.716842105263157,18.4,7.464285714285714,13.0,7.668156565656565,17.4,0.7415002773155852,0.13157077954477772,82.79423076923078,0.1265692262673624,0.013813127724263912,56.8,526.0,5
6-21,Fmn,Female,VEH,4576.560265217437,1185.1695970597314,2590.680049230552,1315.4675231927715,18.00394528566686,7.335744102718076,4,80.0,14.6,65.4,9.0,2.4,6.6,8.892222222222221,15.4,6.575,8.5,9.542857142857143,15.4,0.38985024958402664,0.11579285542659805,245.12142857142857,0.11579285542659805,0.006974886565153329,172.2,440.4,5
6-22,Iso,Female,2mM His,1161.1561199589146,145.79389088497254,165.8400203687476,113.04042087455264,4.43206373647798,3.74993913713766,2,3.2,0.0,3.2,0.4,0.0,0.4,8.0,10.0,,,8.0,10.0,0.016666666666666666,0.125,1199.3333333333335,0.125,0.00028089887640449435,556.0,148.0,5
6-25,SSS,Female,2mM His,3793.8820267643046,1143.1230419874262,2422.2955657503635,1473.809962599016,18.593829777039748,2.5435099170203754,4,136.6,1.4,135.2,12.0,0.2,11.8,11.343415473415472,25.2,7.0,7.0,11.39085137085137,25.2,0.5115501941209095,0.09274122376010588,109.39698380566801,0.0919921600896939,0.009313063479749346,54.8,488.0,5
6-26,SSS,Female,8mM His,668.287088991426,78.56135538165172,532.0467291212832,254.45396895101402,19.895855651230747,2.340359160736558,3,529.0,52.0,477.0,19.0,6.0,13.0,29.253145130731337,126.0,8.05,15.2,40.06544891640867,126.0,0.8114669994453688,0.03657783854274983,52.52571082879613,0.035621082066230055,0.021688448937251956,1.2,199.8,5
6-27,SSS,Female,VEH,5646.7342414356,2790.507770752853,2499.9183234459606,1090.5033388823704,8.763553156140246,7.417575294734481,4,267.4,147.2,120.2,8.6,3.4,5.2,17.787555555555553,97.0,32.199999999999996,135.33333333333334,13.64,41.8,0.37318358291736,0.09968337952754115,283.73133333333334,0.09950623160902919,0.019009598339384044,290.6,267.2,5
6-28,SSS,Female,2mM His,1990.4143165647142,794.8291884031006,435.12209120850275,117.53012627193338,20.20643799015541,1.575613636739164,5,7.6,0.0,7.6,1.2,0.0,1.2,5.666666666666667,6.333333333333333,,,5.666666666666667,6.333333333333333,0.05165002773155851,0.18095238095238098,895.68,0.18095238095238098,0.000873029437870685,448.0,189.33333333333334,5
6-29,SSS,Female,8mM His,5706.794827617187,1083.580921401792,2747.1216612603857,1462.8533557185342,15.508292708334272,6.211709920444196,4,17.0,0.0,17.0,2.6,0.0,2.6,6.085714285714285,7.666666666666667,,,6.085714285714285,7.666666666666667,0.11658347199112588,0.1673611111111111,798.2714285714285,0.1673611111111111,0.0018561426425177476,97.0,524.6666666666666,5
